,Actor,Count,Rank,Parent
138,梁朝伟,17,2,",2,2,2,2,2,2,2,6,7,21,22,22,23,23"
208,刘德华,14,2,",0,2,5,6,18,18,18,22,22"
268,周星驰,14,2,",4,4,4,4,4,4,23,23"
299,葛优,13,2,",0,0,0,0,0,0,0,6,13,13"
305,张涵予,13,2,",0,0,0,0,0,5,6"
840,雨果·维文,13,2,",8,8,8,8,8,10,25"
2307,伊恩·麦克莱恩,12,2,",8,8,8,8,8,8,17,17,17"
58,塞缪尔·杰克逊,11,2,",1,12,12,12"
78,本尼迪克特·康伯巴奇,11,2,",1,8,8"
202,约翰尼·德普,11,2,",14,14,14,14,15,29,29,29"
331,安妮·海瑟薇,11,2,",7,9,9,14,24"
582,斯嘉丽·约翰逊,11,2,",9,19"
40,休·杰克曼,10,3,",9,17,17,17,17"
204,奥兰多·布鲁姆,10,3,",8,8,8,8,8,29,29,29"
269,吴孟达,10,3,",4,4,4,23,23"
360,邓超,10,3,",0,4,5"
499,范冰冰,10,3,",0,0,17"
576,张曼玉,10,3,",2,2,2,2,5,6,23"
681,吴彦祖,10,3,",18"
866,彭于晏,10,3,",5,6"
941,海伦娜·伯翰·卡特,10,3,",14,14,14,14,15,15,15,15"
973,艾伦·瑞克曼,10,3,",14,15,15,15,15,25"
1069,徐峥,10,3,",20,20,20"
1070,黄渤,10,3,",4,20,20,20,20"
1129,汤姆·汉克斯,10,3,",1,1,1,25"
1489,安迪·瑟金斯,10,3,",8,8,8,8,8,9"
1661,摩根·弗里曼,10,3,",9,9,9,16,19"
16,周迅,9,3,",5,5,25"
79,马丁·弗瑞曼,9,3,",8,8,8"
154,莱昂纳多·迪卡普里奥,9,3,",1,9,12,27,27"
